model,source_dataset,target_dataset,accuracy,auc,n_test,timestamp
phasedfd_t,dffd,cifake,52.4500,57.2159,20000,2026-05-13T12:02:39.708886Z
phasedfd_t,cifake,dffd,66.8473,38.1973,91323,2026-05-13T12:17:43.016281Z
phasedfd_t,cocofake,dffd,53.6787,74.3671,91323,2026-05-13T12:29:10.350230Z
phasedfd_t,cocofake,cifake,49.9100,45.3741,20000,2026-05-13T12:31:41.651121Z
phasedfd_s,dffd,cifake,53.2100,55.7729,20000,2026-05-13T12:35:58.589102Z
phasedfd_s,cifake,dffd,67.5898,46.2326,91323,2026-05-13T12:52:31.721992Z
phasedfd_s,cocofake,dffd,58.6391,78.0025,91323,2026-05-13T13:09:12.504666Z
phasedfd_s,cocofake,cifake,49.1100,50.3541,20000,2026-05-13T13:13:00.568160Z
phasedfd_m,dffd,cifake,46.9400,42.2933,20000,2026-05-13T13:18:37.568521Z
phasedfd_m,cifake,dffd,67.2941,46.6367,91323,2026-05-13T13:44:32.687057Z
phasedfd_m,cocofake,dffd,46.8327,73.6378,91323,2026-05-13T14:10:06.619251Z
phasedfd_m,cocofake,cifake,44.9500,43.1367,20000,2026-05-13T14:15:46.322706Z
dualdfd_t,dffd,cifake,51.6400,54.7913,20000,2026-05-13T14:19:06.881062Z
dualdfd_t,cifake,dffd,67.0357,39.3751,91323,2026-05-13T14:38:27.806885Z
dualdfd_t,cocofake,dffd,59.8579,70.3501,91323,2026-05-13T14:48:47.715097Z
dualdfd_t,cocofake,cifake,52.3100,54.1134,20000,2026-05-13T14:51:28.187099Z
dualdfd_s,dffd,cifake,50.0650,45.8544,20000,2026-05-13T14:55:50.044540Z
dualdfd_s,cifake,dffd,66.7893,42.7880,91323,2026-05-13T15:11:39.641121Z
dualdfd_s,cocofake,dffd,49.4618,60.9282,91323,2026-05-13T15:27:42.460060Z
dualdfd_s,cocofake,cifake,53.3800,50.6906,20000,2026-05-13T15:31:20.870486Z
dualdfd_m,dffd,cifake,52.5300,55.5978,20000,2026-05-13T15:38:10.221732Z
dualdfd_m,cifake,dffd,65.5257,29.5448,91323,2026-05-13T16:04:17.325368Z
dualdfd_m,cocofake,dffd,54.9106,68.6334,91323,2026-05-13T16:29:07.040608Z
dualdfd_m,cocofake,cifake,46.9250,44.8052,20000,2026-05-13T16:34:42.913224Z
fulldfd_t,dffd,cifake,52.0550,56.8829,20000,2026-05-13T16:37:48.767509Z
fulldfd_t,cifake,dffd,67.1069,40.9438,91323,2026-05-13T16:50:54.412602Z
fulldfd_t,cocofake,dffd,68.2358,82.3027,91323,2026-05-13T17:02:08.660185Z
fulldfd_t,cocofake,cifake,48.6900,48.7373,20000,2026-05-13T17:04:54.058306Z
fulldfd_s,dffd,cifake,51.1300,53.7002,20000,2026-05-13T17:09:25.546172Z
fulldfd_s,cifake,dffd,66.5900,41.8663,91323,2026-05-13T17:25:37.229300Z
fulldfd_s,cocofake,dffd,50.4199,68.6545,91323,2026-05-13T17:42:12.956152Z
fulldfd_s,cocofake,cifake,55.8600,57.8017,20000,2026-05-13T17:46:03.044672Z
fulldfd_m,dffd,cifake,53.2150,53.1352,20000,2026-05-13T17:52:50.164769Z
fulldfd_m,cifake,dffd,68.0256,45.6559,91323,2026-05-13T18:17:58.451819Z
fulldfd_m,cocofake,dffd,48.0711,66.2767,91323,2026-05-13T18:43:45.910010Z
fulldfd_m,cocofake,cifake,48.9150,50.3435,20000,2026-05-13T18:49:15.637223Z
